ID;plot;year;date;time;doy;status
1;CFB005;2017;05.07.2017;11:55:00;186;1
2;CFB008;2017;05.10.2017;12:15:00;278;1
3;CFB014;2017;11.07.2017;14:25:00;192;1
4;CFB017;2017;05.07.2017;10:30:00;186;2
5;CFB019;2017;14.06.2017;14:15:00;165;2
6;CFB020;2017;25.10.2017;08:20:00;298;1
7;CFB030;2017;14.06.2017;09:30:00;165;1
8;CFB031;2017;14.06.2017;08:05:00;165;2
9;CFB035;2017;03.07.2017;07:40:00;184;1
10;CFB036;2017;05.07.2017;09:45:00;186;1
11;CFB044;2017;11.07.2017;11:56:00;192;2
12;CFB045;2017;04.07.2017;15:25:00;185;1
13;CFB046;2017;04.07.2017;14:30:00;185;3
14;CFB050;2017;04.07.2017;11:12:00;185;1
15;CFB053;2017;28.09.2017;10:10:00;271;2
16;CFB055;2017;24.10.2017;09:59:00;297;1
17;CFB056;2017;11.07.2017;13:01:00;192;1
18;CFB057;2017;13.07.2017;11:07:00;194;1
19;CFB060;2017;19.06.2017;09:50:00;170;1
20;CFB065;2017;19.06.2017;14:25:00;170;2
21;CFB071;2017;24.10.2017;08:19:00;297;1
22;CFB084;2017;24.10.2017;09:35:00;297;1
23;CFB085;2017;13.07.2017;14:38:00;194;1
24;CFB089;2017;13.07.2017;12:21:00;194;1
25;CFB091;2017;03.07.2017;09:34:00;184;1
26;CFB094;2017;03.07.2017;11:30:00;184;1
27;CFB096;2017;04.07.2017;13:05:00;185;3
28;CFB098;2017;28.09.2017;13:27:00;271;1
29;CFB103;2017;28.09.2017;11:40:00;271;1
30;CFB106;2017;03.07.2017;14:48:00;184;1
31;CFB108;2017;03.07.2017;10:20:00;184;1
32;CFB111;2017;14.06.2017;12:00:00;165;1
33;CFB117;2017;28.09.2017;13:49:00;271;1
34;CFB119;2017;04.07.2017;12:09:00;185;1
35;CFB121;2017;03.07.2017;13:43:00;184;2
36;CFB122;2017;14.06.2017;10:40:00;165;1
37;CFB124;2017;03.11.2017;09:58:00;307;1
38;CFB125;2017;14.06.2017;07:05:00;165;1
39;CFB129;2017;11.06.2017;09:15:00;162;1
40;CFB133;2017;06.07.2017;08:55:00;187;1
41;CFB134;2017;03.11.2017;12:52:00;307;1
42;CFB136;2017;27.09.2017;12:10:00;270;1
43;CFB137;2017;24.10.2017;11:18:00;297;1
44;CFB140;2017;13.07.2017;15:01:00;194;1
45;CFB141;2017;13.07.2017;14:09:00;194;2
46;CFB156;2017;06.07.2017;10:35:00;187;1
47;CFB162;2017;04.10.2017;13:56:00;277;1
48;CFB163;2017;04.10.2017;11:59:00;277;1
49;CFB164;2017;05.07.2017;09:10:00;186;1
50;CFB167;2017;05.07.2017;13:20:00;186;1
51;CFB171;2017;04.07.2017;11:26:00;185;1
52;CFB172;2017;04.07.2017;10:43:00;185;1
53;CFB173;2017;04.07.2017;10:04:00;185;2
54;CFB182;2017;06.07.2017;12:00:00;187;1
55;CFB184;2017;11.07.2017;09:42:00;192;1
