"ID","xmin","xmax","ymin","ymax"
1,447052.80500664,447063.035405535,5295282.80990244,5295293.04030133
2,447063.035405535,447073.26580443,5295282.80990244,5295293.04030133
3,447073.26580443,447083.496203325,5295282.80990244,5295293.04030133
4,447083.496203325,447093.72660222,5295282.80990244,5295293.04030133
5,447093.72660222,447103.957001115,5295282.80990244,5295293.04030133
6,447103.957001115,447114.18740001,5295282.80990244,5295293.04030133
7,447114.18740001,447124.417798905,5295282.80990244,5295293.04030133
8,447124.417798905,447134.648197801,5295282.80990244,5295293.04030133
9,447134.648197801,447144.878596696,5295282.80990244,5295293.04030133
10,447052.80500664,447063.035405535,5295272.57950354,5295282.80990244
11,447063.035405535,447073.26580443,5295272.57950354,5295282.80990244
12,447073.26580443,447083.496203325,5295272.57950354,5295282.80990244
13,447083.496203325,447093.72660222,5295272.57950354,5295282.80990244
14,447093.72660222,447103.957001115,5295272.57950354,5295282.80990244
15,447103.957001115,447114.18740001,5295272.57950354,5295282.80990244
16,447114.18740001,447124.417798905,5295272.57950354,5295282.80990244
17,447124.417798905,447134.648197801,5295272.57950354,5295282.80990244
18,447134.648197801,447144.878596696,5295272.57950354,5295282.80990244
19,447052.80500664,447063.035405535,5295262.34910465,5295272.57950354
20,447063.035405535,447073.26580443,5295262.34910465,5295272.57950354
21,447073.26580443,447083.496203325,5295262.34910465,5295272.57950354
22,447083.496203325,447093.72660222,5295262.34910465,5295272.57950354
23,447093.72660222,447103.957001115,5295262.34910465,5295272.57950354
24,447103.957001115,447114.18740001,5295262.34910465,5295272.57950354
25,447114.18740001,447124.417798905,5295262.34910465,5295272.57950354
26,447124.417798905,447134.648197801,5295262.34910465,5295272.57950354
27,447134.648197801,447144.878596696,5295262.34910465,5295272.57950354
28,447052.80500664,447063.035405535,5295252.11870575,5295262.34910465
29,447063.035405535,447073.26580443,5295252.11870575,5295262.34910465
30,447073.26580443,447083.496203325,5295252.11870575,5295262.34910465
31,447083.496203325,447093.72660222,5295252.11870575,5295262.34910465
32,447093.72660222,447103.957001115,5295252.11870575,5295262.34910465
33,447103.957001115,447114.18740001,5295252.11870575,5295262.34910465
34,447114.18740001,447124.417798905,5295252.11870575,5295262.34910465
35,447124.417798905,447134.648197801,5295252.11870575,5295262.34910465
36,447134.648197801,447144.878596696,5295252.11870575,5295262.34910465
37,447052.80500664,447063.035405535,5295241.88830686,5295252.11870575
38,447063.035405535,447073.26580443,5295241.88830686,5295252.11870575
39,447073.26580443,447083.496203325,5295241.88830686,5295252.11870575
40,447083.496203325,447093.72660222,5295241.88830686,5295252.11870575
41,447093.72660222,447103.957001115,5295241.88830686,5295252.11870575
42,447103.957001115,447114.18740001,5295241.88830686,5295252.11870575
43,447114.18740001,447124.417798905,5295241.88830686,5295252.11870575
44,447124.417798905,447134.648197801,5295241.88830686,5295252.11870575
45,447134.648197801,447144.878596696,5295241.88830686,5295252.11870575
46,447052.80500664,447063.035405535,5295231.65790796,5295241.88830686
47,447063.035405535,447073.26580443,5295231.65790796,5295241.88830686
48,447073.26580443,447083.496203325,5295231.65790796,5295241.88830686
49,447083.496203325,447093.72660222,5295231.65790796,5295241.88830686
50,447093.72660222,447103.957001115,5295231.65790796,5295241.88830686
51,447103.957001115,447114.18740001,5295231.65790796,5295241.88830686
52,447114.18740001,447124.417798905,5295231.65790796,5295241.88830686
53,447124.417798905,447134.648197801,5295231.65790796,5295241.88830686
54,447134.648197801,447144.878596696,5295231.65790796,5295241.88830686
55,447052.80500664,447063.035405535,5295221.42750907,5295231.65790796
56,447063.035405535,447073.26580443,5295221.42750907,5295231.65790796
57,447073.26580443,447083.496203325,5295221.42750907,5295231.65790796
58,447083.496203325,447093.72660222,5295221.42750907,5295231.65790796
59,447093.72660222,447103.957001115,5295221.42750907,5295231.65790796
60,447103.957001115,447114.18740001,5295221.42750907,5295231.65790796
61,447114.18740001,447124.417798905,5295221.42750907,5295231.65790796
62,447124.417798905,447134.648197801,5295221.42750907,5295231.65790796
63,447134.648197801,447144.878596696,5295221.42750907,5295231.65790796
64,447052.80500664,447063.035405535,5295211.19711017,5295221.42750907
65,447063.035405535,447073.26580443,5295211.19711017,5295221.42750907
66,447073.26580443,447083.496203325,5295211.19711017,5295221.42750907
67,447083.496203325,447093.72660222,5295211.19711017,5295221.42750907
68,447093.72660222,447103.957001115,5295211.19711017,5295221.42750907
69,447103.957001115,447114.18740001,5295211.19711017,5295221.42750907
70,447114.18740001,447124.417798905,5295211.19711017,5295221.42750907
71,447124.417798905,447134.648197801,5295211.19711017,5295221.42750907
72,447134.648197801,447144.878596696,5295211.19711017,5295221.42750907
73,447052.80500664,447063.035405535,5295200.96671128,5295211.19711017
74,447063.035405535,447073.26580443,5295200.96671128,5295211.19711017
75,447073.26580443,447083.496203325,5295200.96671128,5295211.19711017
76,447083.496203325,447093.72660222,5295200.96671128,5295211.19711017
77,447093.72660222,447103.957001115,5295200.96671128,5295211.19711017
78,447103.957001115,447114.18740001,5295200.96671128,5295211.19711017
79,447114.18740001,447124.417798905,5295200.96671128,5295211.19711017
80,447124.417798905,447134.648197801,5295200.96671128,5295211.19711017
81,447134.648197801,447144.878596696,5295200.96671128,5295211.19711017
